lpg_reading, moving_average,Threshold
6.45437,6.474255,12
6.410941,6.458434,12
6.368664,6.454207,12
6.440161,6.445634,12
6.45437,6.438484,12
6.42509,6.44272,12
6.39682,6.434114,12
6.482885,6.439893,12
6.45437,6.429862,12
6.410941,6.429862,12
6.45437,6.429862,12
6.440161,6.432784,12
6.35463,6.43138,12
6.497187,6.437083,12
6.468612,6.438506,12
6.35463,6.43146,12
6.35463,6.427241,12
6.382727,6.417226,12
6.284894,6.400279,12
6.42509,6.401693,12
6.326649,6.388921,12
6.42509,6.387414,12
6.340625,6.386014,12
6.382727,6.374568,12
6.284894,6.356195,12
6.382727,6.359005,12
6.35463,6.359005,12
6.45437,6.366169,12
6.39682,6.377362,12
6.35463,6.370317,12
6.440161,6.381667,12
6.340625,6.373221,12
6.410941,6.380253,12
6.410941,6.383075,12
6.340625,6.388648,12
6.440161,6.394391,12
6.368664,6.395794,12
6.468612,6.397218,12
6.257205,6.383257,12
6.298785,6.377673,12
4.843294,6.217986,12
5.75233,6.159156,12
6.340625,6.152125,12
6.026415,6.113672,12
6.39682,6.119291,12
6.410941,6.11637,12
5.273868,6.00689,12
5.344992,5.894528,12
5.973285,5.866136,12
5.973285,5.833585,12
6.026415,5.951898,12
6.39682,6.016347,12
6.106941,5.992978,12
6.511518,6.041489,12
7.032392,6.105046,12
7.172598,6.181211,12
7.204117,6.374236,12
7.18834,6.558571,12
7.141212,6.675364,12
7.18834,6.796869,12
7.693079,6.963535,12
7.743692,7.098222,12
7.510207,7.238549,12
7.592809,7.346679,12
6.656481,7.309087,12
6.819468,7.273774,12
7.12557,7.26592,12
7.347588,7.281844,12
6.97092,7.264815,12
7.37984,7.283965,12
7.156886,7.230346,12
7.172598,7.173237,12
7.331515,7.155367,12
7.461065,7.142193,12
7.032392,7.179784,12
6.909957,7.188834,12
6.744918,7.150767,12
3.805843,6.796593,12
6.759764,6.775477,12
7.726788,6.810173,12
7.204117,6.814896,12
6.671144,6.76475,12
7.576218,6.78922,12
7.726788,6.815793,12
8.195981,6.932152,12
8.542557,7.095412,12
8.692705,7.29019,12
8.76874,7.78648,12
8.942195,8.004723,12
9.020359,8.134081,12
8.76874,8.290543,12
8.903362,8.513763,12
9.158754,8.672018,12
9.118999,8.811239,12
9.138858,8.905527,12
9.380447,8.989316,12
9.649244,9.08497,12
9.861157,9.194212,12
9.733465,9.273339,12
9.818411,9.353145,12
9.925625,9.468832,12
10.03399,9.581895,12
9.947205,9.66074,12
9.904087,9.73925,12
10.25425,9.850787,12
10.18767,9.931509,12
10.16557,9.983142,12
10.03399,10.00043,12
7.493796,9.77646,12
7.82876,9.577494,12
4.865127,9.071444,12
7.12557,8.780602,12
7.726788,8.558561,12
7.592809,8.327433,12
6.789552,7.980963,12
6.612672,7.623464,12
6.598131,7.266719,12
7.55967,7.019287,12
7.219925,6.9919,12
7.141212,6.923145,12
7.12557,7.14919,12
7.109961,7.14763,12
6.612672,7.036218,12
6.87967,6.964903,12
7.00159,6.986107,12
5.676187,6.892459,12
6.468612,6.879507,12
5.588541,6.682394,12
6.569141,6.617316,12
6.685839,6.571778,12
6.120461,6.471268,12
5.539019,6.314173,12
5.238634,6.176768,12
5.250354,6.013838,12
5.297476,5.843426,12
5.157269,5.791534,12
4.6824,5.612914,12
5.986528,5.652711,12
4.640326,5.45983,12
5.054366,5.296683,12
5.088452,5.193482,12
5.309319,5.170512,12
5.588541,5.205503,12
6.01309,5.281777,12
5.920594,5.344089,12
5.85534,5.413896,12
5.688813,5.514537,12
4.953353,5.41122,12
5.344992,5.481687,12
5.368895,5.513139,12
5.688813,5.573175,12
6.849504,5.727193,12
5.920594,5.760399,12
7.609435,5.920033,12
8.981195,6.226093,12
8.922758,6.532835,12
9.059693,6.869924,12
9.339754,7.308563,12
9.544975,7.728562,12
9.46236,8.137909,12
9.96883,8.565908,12
10.0558,8.886539,12
10.32125,9.326605,12
10.59364,9.625026,12
10.82609,9.809515,12
10.8496,10.0022,12
11.06361,10.20259,12
11.18431,10.38704,12
11.30787,10.56333,12
11.70741,10.78784,12
11.58106,10.94906,12
11.40645,11.08413,12
11.88664,11.24067,12
11.99029,11.38033,12
12.09486,11.50721,12
12.17388,11.63964,12
12.41409,11.77468,12
12.3603,11.89229,12
12.49521,12.01102,12
12.76954,12.11723,12
12.74183,12.23331,12
12.79731,12.37239,12
13.04996,12.48873,12
12.93705,12.5834,12
12.93705,12.66762,12
12.82513,12.73275,12
12.96519,12.78786,12
12.76954,12.82878,12
12.74183,12.85344,12
12.79731,12.85622,12
12.96519,12.87856,12
12.88097,12.88692,12
12.96519,12.87844,12
12.88097,12.87284,12
12.76954,12.85608,12
12.93705,12.86728,12
12.88097,12.85885,12
12.63163,12.84506,12
12.82513,12.85339,12
12.57689,12.83135,12
12.88097,12.82293,12
12.74183,12.80902,12
12.79731,12.79223,12
12.93705,12.79784,12
12.60422,12.7813,12
13.02164,12.78976,12
12.76954,12.77862,12
12.57689,12.77315,12
12.5496,12.74559,12
12.65908,12.75381,12
12.65908,12.73162,12
12.5496,12.7124,12
12.60422,12.69309,12
12.49521,12.64891,12
12.41409,12.6299,12
12.28005,12.55574,12
12.41409,12.52019,12
12.33349,12.49585,12
12.30674,12.47157,12
12.33349,12.43901,12
12.52238,12.42534,12
12.30674,12.40105,12
12.30674,12.3713,12
12.33349,12.35513,12
12.20033,12.33376,12
12.20033,12.32578,12
12.17388,12.30176,12
12.06863,12.27528,12
12.22685,12.26729,12
11.99029,12.23297,12
12.09486,12.19022,12
11.99029,12.15857,12
12.04246,12.13214,12
12.01635,12.10043,12
11.96429,12.07682,12
11.83516,12.04031,12
11.99029,12.02195,12
11.65671,11.98076,12
11.70741,11.92881,12
11.68203,11.89799,12
11.75834,11.86433,12
11.70741,11.83605,12
11.80949,11.81275,12
11.48096,11.75921,12
11.88664,11.75144,12
11.60622,11.72855,12
11.68203,11.69773,12
11.55595,11.68765,12
11.55595,11.6725,12
11.5309,11.65739,12
11.48096,11.62965,12
11.55595,11.6145,12
11.33243,11.5668,12
11.28335,11.54704,12
11.33243,11.49162,12
11.33243,11.46424,12
11.48096,11.44413,12
10.8496,11.3735,12
11.28335,11.34624,12
11.11173,11.30432,12
11.06361,11.26258,12
10.9442,11.20141,12
11.16007,11.18417,12
11.06361,11.1622,12
11.11173,11.14013,12
11.08764,11.11565,12
10.99181,11.06674,12
10.75583,11.05736,12
10.96798,11.02582,12
10.92048,11.00669,12
10.96798,10.99713,12
10.9442,10.99713,12
10.77919,10.95904,12
10.9442,10.9471,12
10.77919,10.91385,12
10.8968,10.89477,12
10.99181,10.89477,12
10.63973,10.88316,12
10.68602,10.85496,12
10.63973,10.82689,12
10.50206,10.78029,12
10.63973,10.74985,12
10.63973,10.7359,12
10.57067,10.69855,12
10.75583,10.69621,12
10.70923,10.67745,12
10.61666,10.63994,12
10.59364,10.63533,12
10.41127,10.60785,12
10.45656,10.58954,12
10.57067,10.5964,12
10.25425,10.55785,12
10.43389,10.53727,12
10.52488,10.53269,12
10.41127,10.49823,12
10.232,10.45051,12
10.25425,10.41427,12
10.0558,10.36048,12
10.16557,10.33591,12
10.18767,10.30902,12
10.14353,10.26631,12
10.14353,10.25524,12
10.03399,10.21525,12
10.07766,10.17053,12
9.818411,10.11124,12
10.18767,10.10681,12
9.947205,10.0761,12
9.882602,10.05878,12
9.904087,10.03264,12
10.0558,10.01945,12
9.882602,9.993355,12
10.01222,9.980225,12
10.01222,9.978048,12
10.01222,9.971504,12
9.882602,9.977923,12
9.904087,9.949565,12
9.839765,9.938822,12
9.882602,9.938822,12
9.882602,9.936673,12
9.839765,9.91507,12
9.904087,9.917218,12
9.797107,9.895706,12
9.797107,9.874194,12
9.818411,9.854814,12
9.691265,9.83568,12
9.882602,9.833531,12
9.649244,9.814479,12
9.861157,9.812335,12
9.712344,9.795309,12
9.691265,9.780459,12
9.733465,9.763396,12
9.628302,9.746516,12
9.544975,9.721304,12
9.586552,9.698117,12
9.503579,9.679348,12
9.482948,9.639383,12
9.46236,9.620694,12
9.524257,9.587005,12
9.524257,9.568194,12
9.503579,9.549427,12
9.565741,9.532655,12
9.586552,9.528481,12
9.339754,9.507957,12
9.421316,9.491434,12
